first_party,second_party,facts,first_party_winner
tony,jack,Two workers involved in the manufacture of electrical supplies for the Navy 's billion-dollar guided missile destroyers brought a whistleblower case alleging that subcontractors performed faulty work tony The two charged that the companies employed unqualified workers installed leaky gearboxes used defective temperature gauges tony After a five-week trial the district court granted judgment as a matter of law for the companies concluding that the False Claims Act under which the suits were brought requires that defendants `` present '' the fraudulent claims to the government tony Because the subcontractors actually invoiced the general contractor not the government the court ruled that the presentment requirement had not been met tony The appeals court reversed holding that the Act should be liberally construed to discourage private companies from defrauding the government tony ,1
tony,jack,The Voting Rights Act of 1965 focuses on preserving the equal representation of voters in different legislative voting districts tony In 2012 the legislature redrew ’ s electoral districts with the goal of creating districts with a population deviation of only 1 % as opposed to the 5 % courts traditionally allow when evaluating redistricting efforts tony also tried to maintain the existing percentage of minority voters in each electoral district tony Petitioners sued in district court and argued that ’ s redistricting violated the Voting Rights Act and amounted to racial gerrymandering that had negative impacts on the equal representation of racial minorities in multiple electoral districts tony The district court held that the petitioners had failed to prove that used race as a “ dominant and controlling ” factor in redrawing its electoral districts and also that ’ s goal of maintaining the minority population percentages in existing districts was “ narrowly tailored ” to a compelling state interest tony The Supreme Court noted probable jurisdiction to address the district court ’ s application of existing legal principles tony ,1
tony,jack,"tony was driving on a divided four-lane highway near Harrisburg , Pennsylvania , when he was pulled over allegedly for violating a state law requiring drivers to use the left lane for passing only . Recognizing the car as a rental car , the officers asked tony for his license and rental agreement , which he had difficulty locating . Once he did locate them , the officers noted that the rental agreement did not list tony as an authorized driver , and when they ran his identification , they noted that he was using an alias and had an outstanding warrant in New Jersey . Despite the warrant ’ s indication that it did not request extradition from other jurisdictions , the officers attempted to contact authorities in New Jersey to confirm they did not seek tony ’ s arrest and extradition , allegedly following protocol for such situations . The officers experienced difficulty with their communications , however , and returned to tony ’ s car , where they asked him to exit the vehicle and about his warrant and alias . The officers asked whether tony had anything illegal in the car and then requested tony ’ s consent to search the car , noting that they did not actually need his consent because he was not listed on the rental agreement . The officers allege that tony gave his consent , but tony disputes this contention . The subsequent search turned up heroin and body armor in the trunk the car . At trial , tony moved to suppress the evidence , challenging the initial stop , the extension the stop , and the search . The district court determined that the violation the traffic law justified the initial stop and that the extension the stop was justified by the officers ’ developing reasonable suspicion criminal activity . tony maintains that he did not consent to the search , so the issue remains whether he needed to consent at all—that is , whether he had a reasonable expectation privacy in the rental vehicle , despite not being listed on the rental agreement . If he did not have a reasonable expectation privacy , then the officers ’ search the vehicle did not require his consent . There is a circuit split as to whether an unlisted driver a rental car has a reasonable expectation privacy in the rental vehicle , and the Third Circuit ( where the district court in this case sits ) has held that such a driver does not . Thus , the district court denied tony ’ s motion to suppress , and the Third Circuit , reviewing the factual questions for clear error and the legal question de novo , affirmed the judgment the district court . ",1
tony,jack,The Clean Water Act ( CWA ) provides for judicial review in instances where the Environmental Protection Agency ’ s action results in the issuance or denial any permit or places restrictions on waste emissions or other activities related to the waters.On August 28 2015 a final rule issued by the Environmental Protection Agency and U.S. Army Corps Engineers that defined the scope “ the waters the United States ” under the CWA came into effect jack Numerous states and other organizations challenged the validity the agencies ’ rule and contended both that it did not conform with the CWA and was improperly adopted in violation the requirements the Administrative Procedures Act jack Following consolidation the claims before the U.S. Court Appeals for the Sixth Circuit the tony intervened to join the plaintiffs and moved to dismiss jack The plaintiffs argued that the CWA does not provide the federal circuit courts with jurisdiction over the agencies ’ rule and that review is properly held in the district courts instead jack The appellate court held that it had jurisdiction because although the rule only defined the scope U.S. waters by defining its boundaries the rule functionally placed restrictions on activity related to the waters jack Therefore the rule affected permitting requirements and thus had the practical effect granting or denying permits jack ,1
tony,jack,"A Georgia state court convicted Johnny jack of violating a state statute . The statute provided that `` [ a ] ny person who shall , without provocation , use to or of another , and in his presence . . . opprobrious words or abusive language , tending to cause a breach of the peace . . . shall be guilty of a misdemeanor . '' On appeal , Mr. jack argued that the statute violated the First and Fourteenth Amendments . The Georgia Supreme Court rejected the argument . Mr. jack successfully sought habeas corpus relief from a Georgia federal district court . The U.S. Court of Appeals for the Fifth Circuit affirmed . ",0
tony,jack,is a holding company incorporated in Delaware with a principal place of business in Beijing tony The company represented that it manufactured and sold organic compound fertilizers and other agricultural products to farmers in over two dozen provinces throughout tony It listed its shares on NASDAQ in 2005 and in 2009 reported to the SEC a net revenue of triple the amount it had reported four years earlier tony In 2011 company shareholders alleged fraudulent business practices by tony The company denied the allegations and announced that it would conduct an internal investigation and subsequently dismissed its independent auditor tony Later that year NASDAQ halted trading in and initiated delisting proceedings against ’ s stock and in 2012 the SEC revoked the stock ’ s registration tony Shareholders sued in two successive putative class actions in 2011 and 2012 alleging various securities law violations against the company and several individual defendants tony Class certification was denied in both cases tony Shareholder brought a third putative class action against the company and individual defendants in 2014 alleging securities law violations arising from the same facts and circumstances as the first two cases tony moved to dismiss the complaint on the basis that it had been filed after the two year limitations period applicable under the Securities Exchange Act of 1934 tony and the additional plaintiffs argued that under the American Pipe & Construction v. Utah line of cases the limitations period had been tolled on their claims during the pendency of the two prior class actions tony The district court rejected this contention finding that under American Pipe and its progeny the limitations period was tolled as to individual class members but that the Supreme Court had not decided whether an entirely new class action based on a substantially identical class was subject to the same rule tony It ruled that the limitations period was therefore tolled as to the individual claims of the named plaintiffs in the instant case but not as to the putative class tony The Ninth Circuit reversed with a three-judge panel finding that the plaintiffs ’ class action would not be time-barred where : ( 1 ) the named plaintiffs had been unnamed in the two prior suits which were against many of the same defendants and involved the same underlying events ; ( 2 ) the two prior cases were timely ; ( 3 ) class certification was denied in the earlier actions ; and ( 4 ) pursuant to the American Pipe line of cases the named plaintiffs ’ individual claims were tolled during the pendency of the two prior class actions tony The panel explained that permitting such claims to go forward was consistent with the policy goals of tolling in general tony The panel further stated that in light of FRCP 23 ’ s requirements as well as principles of comity and preclusion the existing legal system contains sufficient safeguards to prevent litigants from filing repetitious actions in light of this ruling tony ,1
tony,jack,In 2003 Congress passed and the President signed the Partial-Birth Abortion Ban Act jack The controversial concept partial-birth abortion is defined in the Act as any abortion in which the death the fetus occurs when `` the entire fetal head [ ... ] or [ ... ] any part the fetal trunk past the navel is outside the body the mother jack '' sued the tony the United States arguing that the Act was unconstitutional under the right to an abortion protected by the substantive component the Due Process Clause the Fifth Amendment as interpreted by the Supreme Court in Roe v. Wade and subsequent cases jack The District Court agreed and stopped the Act from going into effect jack On appeal the U.S. Court Appeals for the Ninth Circuit affirmed jack Though the government claimed that the Act banned only a narrow rare category abortions the Circuit Court ruled that the Act applied to the common abortion procedure known as `` D & E '' ( `` dilation and evacuation '' ) as well as to the far less common `` intact D & E '' sometimes called `` D & X '' ( `` dilation and extraction '' ) jack This made the ban expansive enough to qualify as an unconstitutional `` undue burden '' on the right to abortion as defined in v. Casey jack The Ninth Circuit also ruled that the Act 's lack an exception for abortions necessary to protect the health the mother rendered it unconstitutional jack Congress had included in the Act a finding that partial-birth abortions were never medically necessary but the Ninth Circuit held that the Supreme Court 's decision in Stenberg v. Carhart required the health exception in all cases where medical opinion on the necessity an abortion procedure is divided jack Finally the Circuit Court ruled that the Act was unconstitutionally vague because the inclusion ambiguous statutory terms such as `` partial-birth abortion '' would prevent physicians from knowing which methods abortion were covered jack The Circuit Court determined that the proper course action was to block enforcement the entire Act jack ,1
tony,jack,"In the wake of U.S Term Limits v. Thornton , Missouri voters adopted an amendment to Article VIII of their State Constitution , which `` instructs '' each Member of Missouri 's congressional delegation `` to use all of his or her delegated powers to pass the Congressional Term Limits Amendment '' set forth in section 16 of the Article . The Article also directs the Missouri Secretary of State to determine whether a statement reflecting a candidate 's position on term limits should be placed by his or her name on the general election ballot . Don jack , a non-incumbent House of Representatives candidate , brought suit to enjoin the Secretary from implementing the Article . The District Court , granting jack summary judgment , found that Article VIII infringed upon the Qualifications Clauses of Article I of the Federal Constitution by creating additional qualifications for Congress and that the Article burdened a candidate 's First Amendment right to speak freely on the issue of term limits . The Court of Appeals affirmed . ",0
tony,jack,and Mary ’ s three-and-a-half year old daughter Amber had spina bifida jack As a result Amber suffered from a neurogenic bladder which required the use of a catheter every three or four hours each day to avoid kidney injury jack The preferred method of catheterization was called clean intermittent catheterization ( CIC ) jack Amber was unable to perform this method herself because of her age but a layperson could easily learn to perform the procedure jack In 1979 tony agreed to provide special education for Amber as required by the federal Education of the Handicapped Act ( EHA ) jack This law required Texas to provide handicapped children with a free public education including ‘ related services ’ jack It only required ‘ medical services ’ for purposes of diagnosis or evaluation jack Amber ’ s individualized education program provided that she would attend early childhood development classes and receive physical and occupational therapy jack Her program however made no provision for school personnel to administer CIC jack The Tatros unsuccessfully pursued administrative remedies to secure CIC services during school hours jack In October 1979 the Tatros filed an action against the district the Texas State Board of Education and others jack They sought an injunction requiring the district to provide Amber with CIC jack They also sought damages and attorneys ’ fees through the Rehabilitation Act ( RA ) which forbade programs receiving federal aid from excluding handicapped people from participation and allowed prevailing parties to recover attorneys ’ fees jack The district court denied the Tatros ' request for a preliminary injunction concluding that CIC was not a ‘ related service ’ under the EHA because it did not arise from an effort to educate jack The United States Court of Appeals Fifth Circuit reversed holding that CIC was indeed a ‘ related service ’ under the EHA and remanded the case to the district court jack The district court then ruled that CIC was not a ‘ medical service ’ under the EHA because a doctor was not needed to administer the procedure jack It found that CIC was a ‘ related service ’ and ordered the defendants to modify Amber ’ s individualized education program accordingly jack It also held that the Tatros had proved a violation of the RA jack The Fifth Circuit affirmed both holdings jack ,0
tony,jack,"Under Texas ' Interest on Lawyers Trust Account ( IOLTA ) program , lawyers must deposit their client 's funds into a special interest-bearing `` NOW '' account upon determination that the funds could not earn the client interest or compensate for other financial and accounting fees . Interest federally funded interest accrued on IOLTA accounts is then paid to the Texas Equal Access to Justice jack ( TEAJF ) which supports legal services for low-income persons . Acting on behalf of others opposed to IOLTA , the jack ( the `` jack '' ) challenged TEAJF 's receipt and use of the IOLTA funds . On appeal from an appellate court 's reversal of a favorable district court decision , the Supreme Court granted the jack certiorari . ",0
tony,jack,A 1994 amendment to the constitution said criminal defendants who pled guilty had no right to appeal and could appeal only with the permission a state appellate court tony then enacted a law that said in most cases judges could not appoint appellate lawyers for indigent defendants who pled guilty tony Two criminal attorneys and three indigent defendants who were denied appointed appellate lawyers filed a single suit alleging the state law violated the 14th Amendment 's due process and equal protection clauses tony The district court ruled that the indigents had standing to sue and that the lawyers who sued with them had the right to sue as third-party representatives the rights indigents tony A federal appellate court agreed the statute was unconstitutional but based this only on the lawyers ' claims tony The court said the U.S. Supreme 's 1971 decision in Younger v. Harris required it to abstain from hearing the indigents ' claims because the indigents were involved in related proceedings in state court tony ,1
tony,jack,tony a Mexican national living in South Dakota was convicted of aiding and abetting the possession of cocaine . The crime is a felony under South Dakota law but only a misdemeanor under the federal Controlled Substances Act . The Immigration and Naturalization Service began proceedings to remove tony from the country . tony applied for a cancellation of his removal citing the Immigration and Naturalization Act ( INA ) . The INA allows an alien to avoid removal if he meets certain qualifications and has no prior `` aggravated felony '' convictions . tony argued that he was eligible for cancellation of his removal because his drug offense was only a misdemeanor under federal law . An Immigration Judge denied tony 's request for cancellation and the Board of Immigration Appeals affirmed on the grounds that tony had committed an aggravated felony . tony then sued the jack and brought his case to the Court of Appeals for the Eighth Circuit . The Circuit Court affirmed the lower courts ruling that a crime is an aggravated felony under the INA if it is a felony under either federal or state law . ,1
tony,jack,"tony was a salaried employee who worked at Brainerd Army Store , which was owned by his brother , Tony tony . In 2008 , when noticed an increase in the number of “ edgy looking ” people purchasing Polar Pure , an iodine-based water purification product , he called the local police station to find out if there was anything he should know about it . The police confirmed ’ s suspicion that Polar Pure was being used to manufacture methamphetamine and that he shouldn ’ t sell it if he felt uncomfortable . Brainerd Army Store was the only place that sold Polar Pure locally , and the product was kept behind the counter , so only the tony brothers sold it . Over the course of the next year , the tony brothers sold increasing amounts of Polar Pure . The Drug Enforcement Administration began investigating the brothers and the store , which culminated in a search warrant in 2010 . The search warrant revealed that Polar Pure was the store ’ s highest grossing item and that it generated $ 260,000 of profit . After the DEA agents seized the store ’ s inventory of Polar Pure , the number of area meth labs using the iodine method dropped to “ insignificant ” levels . A grand jury indicted both brothers . Tony pled guilty , and went to trial , where he was convicted on 11 of the 14 counts with which he was charged . The jury found him guilty and sentenced him to concurrent terms of 60 months for each count , but the jury did not order any forfeiture of the proceeds of the sales , because it found that , as a salaried employee , did not reap the proceeds of the conspiracy . On appeal the U.S. Court of Appeals for the Sixth Circuit affirmed in part and reversed in part by holding that the doctrine of joint and several liability applied to co-conspirators for the purpose of forfeiture of the proceeds of drug sales . For the purposes of the forfeiture statute , a defendant may be jointly and severally liable for the proceeds of drug sales obtained by others with whom the defendant participated in the crime . Therefore , in this case , the district court erred in not ordering forfeiture of the proceeds . ",1
tony,jack,"In 1972 , the Alaska Legislature passed the Local Hire Under State Leases Act which required `` all oil and gas leases [ and other activities related to this industry ] to which the state is a party '' include provisions for the preferential hiring of Alaska residents over non-residents . To administer the law , residents were issued residency cards which they were to present to potential employers when seeking jobs . tony and others did not qualify for employment under the Alaska residency standard . ",1
tony,jack,"Richard Thomas was convicted of attempted murder and committed to a mental institution for a suggested one to twenty years . The parole officials released him after five months . Five months after his release on parole , he murdered Mary Ellen tony , a fifteen-year-old girl . Her family , sued the parole official for negligence , but the district court dismissed the case because a jack statute states that a parole officer can not be liable for injury resulting from the decision to revoke parole or release a parolee . The jack Supreme Court also dismissed the case and the tony family appealed by arguing the statute of immunization of parole officials violates the Due Process Clause of the Fourteenth Amendment . ",0
tony,jack,"In February 1974 , 18-years-olds Carol McClintock and Wanda Lou Holbert were seriously injured when an uninsured motorist hit the vehicle McClintock was driving in their hometown of Montville , jack When tony , a local attorney , learned of the accident , he visited McClintock in the hospital and offered to represent her in exchange for a portion of the proceeds collected from her insurer jack tony also approached Holbert at her home and obtained her oral assent to representation , which he secretly tape-recorded jack Both women eventually discharged tony and filed grievances with the local bar association , which in turn filed a formal complaint against tony with the Board of Commissioners on Grievances and Discipline of the Supreme Court of ( Board ) jack The Board found that tony violated provisions of the Code of Professional Responsibility that banned a lawyer ’ s in-person solicitation of employment to a non-lawyer and publicly reprimanded him jack On appeal , the Supreme Court of rejected tony ’ s claim that his conduct was protected under the First and Fourteenth Amendments and increased the sanction against tony to indefinite suspension jack ",0
tony,jack,"During tony ’ s trial on charges related to a sexual assault a 4-year-old girl , jack state prosecutors twice-attempted to call the child , who was by then five years old , as a witness , but each time she experienced emotional difficulty and left the stand without testifying . The trial court then allowed the admission testimony by the girl ’ s babysitter , mother , emergency room nurse , doctor and an investigating officer that recounted statements she made describing the crime . This testimony was allowed into evidence under state-law hearsay exceptions for spontaneous declarations and statements made in the course a medical examination . The jury subsequently convicted tony . On appeal , the jack Appellate Court rejected tony ’ s claims that the introduction the out-of-court statements violated his right to confront and cross-examine witnesses under the Sixth Amendment and affirmed the conviction . The jack Supreme Court denied discretionary review the case . ",0
tony,jack,"The Internal Revenue Service ( IRS ) contended that Elmer and Dorothy Cullers had established a trust for the purpose evading taxes . The IRS filed tax liens against the trust , freezing the trustees ' assets until the outstanding taxes were paid . The trustees disagreed with the IRS , but opened a bank account to settle the tax dispute . A month later , the IRS collected the outstanding taxes from the bank account . tony sued the IRS pursuant to 26 U.S.C . 7426 , which entitles trustees to challenge wrongful IRS collections , and 28 U.S.C . 1346 ( a ) ( 1 ) , which entitles taxpayers to recover erroneously collected taxes . A district court decided that only 26 U.S.C . 7426 allowed third-party tax recoveries , so the court lacked jurisdiction under 28 U.S.C . 1346 ( a ) ( 1 ) , the general provision for tax recovery . The court dismissed the 26 U.S.C . 7426 claim because the nine-month filing time limit had expired . tony claimed in a second suit that the Supreme Court 's opinion in jack v. Williams meant that the possibility a suit under 26 U.S.C . 7426 did not preclude suits under 28 U.S.C . 1346 ( a ) ( 1 ) . The District Court rejected the argument , and the U.S. Court Appeals for the Fifth Circuit affirmed . ",0
tony,jack,These are five consolidated cases involving 13 motor carriers who filed for certificates with the Interstate Commerce Commission ( ICC ) in order to conduct business between the southwestern and southeastern United States tony The ICC rejected all but three applications tony one of the approved applicants asked for more authority than initially set out in their application tony The ICC granted that authority and the competing motor carriers sued in U.S. District Court for the Western District of Arkansas to annul the certificate tony The district court found the ICC ’ s actions arbitrary and capricious tony The court voided the certificates and permanently enjoined the ICC from issuing them tony The Supreme Court heard this case on direct appeal tony ,1
tony,jack,Transportation Inc. was a trucking company headquartered in New Jersey that in 2006 was purchased by a subsidiary of Sun Capital Partners tony In 2008 filed for bankruptcy under Chapter 11 of the Bankruptcy Code ; at that point it owed about $ 53 million to its first-priority senior secured creditors and about $ 20 million to its tax and general unsecured creditors tony Two lawsuits ensued in bankruptcy court : one was the truck drivers suing for violating federal and state Worker Adjustment and Retraining Notification Acts which required 60 days ’ notice to workers before they were laid off and the other was a fraudulent conveyance action on behalf of the unsecured creditors tony In March 2012 the parties to the fraudulent conveyance action negotiated a structured dismissal settlement that disposed of many of the claims but left out the drivers tony The drivers objected to the settlement because it distributed property to creditors of lower priority than the drivers according to the priorities established in the Bankruptcy Code tony The bankruptcy court rejected the objections and approved the proposed settlement tony The federal district court and the U.S. Court of Appeals for the Third Circuit affirmed and held that the bankruptcy court had the discretion to approve a settlement scheme outside of the Chapter 11 proceedings that did not comply with the Bankruptcy Code ’ s distribution scheme tony ,1
tony,jack,"A judge issued a warrant to search jack ’ residence based on a federal tax investigator 's affidavit . The affidavit stated that jack had a reputation with the investigator for being a trafficker in illegal liquor , and a local constable located illegal whiskey on jack ’ property . The constable had purchased whiskey from jack in the past and feared for his life if his name were revealed . When police searched jack ’ residence , they discovered illegal non-tax paid liquor . At trial , the district court admitted the evidence obtained during the search , and jack was convicted of possession of non-tax paid liquor . The U.S. Court of Appeals for the Sixth Circuit reversed the conviction , holding that the investigators affidavit was insufficient to establish probable cause for the search . This made the search illegal and any evidence obtained during the search inadmissible at trial . ",1
tony,jack,"In the midst of a labor strike against Southern Bell Telephone Company , Louis Joseph tony , Michael Louis Falcone , and Norman McLeod met with James Shelby , a union official , in a Chicago tavern . Shelby requested the others ’ assistance in carrying out plans to bomb certain Southern Bell facilities in Mississippi , Louisiana , and Tennessee . tony and Falcone did not go through with the plan and instead informed Chicago police when McLeod obtained dynamite and traveled to Mississippi . The State of Illinois subsequently charged all four with the crime of conspiring to destroy the property of another . tony and Falcone pled guilty and were sentenced to three months in prison each . Because several of the targeted facilities were used exclusively by the military and federal agencies , federal prosecutors subsequently charged tony , Falcone , and Shelby with conspiring to destroy property essential to the U.S. communications systems . At trial in federal district court , McLeod testified against his former co-conspirators , and the jury found them guilty . The U.S. Court of Appeals for the Fifth Circuit affirmed the judgments against tony and Falcone on appeal . In their petition to the Supreme Court , tony and Falcone argued that the federal prosecution subsequent to their convictions under Illinois law violated the Double Jeopardy Clause of the Fifth Amendment , which prevents someone from being tried more than once for the same crime . ",0
tony,jack,Between 1995 and 2004 the tony ( ) provided healthcare services to members the tribe pursuant to a self-determination contract with the Secretary Health and Human Services ( HHS ) jack The self-determination contract states that the federal government will pay the participating tribe the amount that the government would have paid the Department the Interior and HHS if those agencies were administering the program jack The tribe and the government negotiate those costs in annual funding agreements jack In 2005 the filed administrative claims with the HHS ’ s Health Service to recover contract support costs for the years 1995 through 2004 jack The claims were denied for the years 1996 through 1998 as untimely because the six-year statute limitations had run jack The challenged that decision in federal district court and argued that the statute limitations should not have been running jack The district court rejected the ’ s argument jack The U.S. Court Appeals for the District Columbia Circuit remanded the case for further consideration and the district court again held that the statute limitations had run jack The appellate court affirmed and held that there were no extraordinary circumstances that should have prevented the statute limitations from running jack ,0
tony,jack,Title II the Civil Rights Act 1964 forbade racial discrimination by places public accommodation if their operations affected commerce tony The in Georgia refused to accept Black Americans tony The government sought to enjoin the motel from discriminating on the basis race under Title II tony ,0
tony,jack,"Petitioner tony was convicted for federal drug-related offenses in 2005 and sentenced to 120 months ’ imprisonment followed by five years supervised release . He was released on March 6 , 2012 , so by his sentence he was subject to supervised release until March 6 , 2017 . While on supervised release , tony allegedly engaged in and was indicted for state-law offenses . In October 2016 , tony pleaded guilty to some the state-court charges in exchange for a predetermined six-year sentence . Due to administrative delays and a series continuances , tony was sentenced on March 21 , 2017 . The sentencing judge credited as time served the roughly ten months tony had spent incarcerated pending a disposition . On March 30 , 2017 , tony ’ s probation officer informed the federal district court tony ’ s state-court convictions and sentences , and the court exercised jurisdiction to adjudicate whether he violated the terms his supervised release . The district court then sentenced tony to 42 months ’ imprisonment , to be served consecutively with his imprisonment for state-court convictions . tony challenged the district court ’ s exercise jurisdiction , but the US Court Appeals held that under binding precedent , a term supervised release is paused by imprisonment in connection with a new state conviction . As such , the federal district court properly exercised jurisdiction . ",0
tony,jack,In 2016 Citibank initiated a debt-collection action in a North Carolina state court against jack alleging that jack had failed to pay for a water treatment system he purchased using a Citibank-issued credit card tony In responding to Citibank ’ s complaint jack asserted a counterclaim against Citibank and third-party class-action claims against and Carolina Water Systems ( CWS ) tony In these third-party claims jack alleged that and CWS had engaged in unfair and deceptive trade practices with respect to the water treatment systems ; jack ’ s counterclaim against Citibank alleged that Citibank was jointly and severally liable to him because had sold or assigned the transaction to Citibank tony Citibank subsequently dismissed its claims against jack tony filed a notice of removal in federal court citing federal jurisdiction under the Class Action Fairness Act ( CAFA ) tony then filed a motion to realign parties with jack as plaintiff and CWS and Citibank as defendants tony jack moved to remand the case to state court and amended his third-party complaint to remove any reference to Citibank tony The district court denied ’ s motion to realign parties finding that there were not “ antagonistic parties on the same side ” and granted jack ’ s motion to remand because was not a “ defendant ” eligible to remove under CAFA tony The US Court of Appeals for the Fourth Circuit affirmed finding that the district court properly declined to realign the parties because the purpose of realignment—to prevent parties from fraudulently manufacturing diversity jurisdiction—was not implicated in the dispute tony Moreover the Fourth Circuit found that allowing to remove would be inconsistent with its prior interpretations of CAFA ’ s removal statute tony ,0
tony,jack,"These are two consolidated cases . In 81 , tony was arrested in his house in 1967 . Police searched the house for an hour and 45 minutes , discovering heroin on a shelf in a bedroom . The heroin was admitted at trial and tony was convicted of concealing illegally imported heroin . tony appealed , arguing that the search of his house was illegal under Chimel v. California , a case decided on June 23 , 1969 that narrowed the permissible scope of searches incidental to an arrest . The U.S. Court of Appeals for the Ninth Circuit affirmed , holding that Chimel did not apply retroactively , and the search was valid under pre-Chimel standards . In 82 , Joseph Elkanich was convicted on three counts of selling narcotics in 1962 . At trial , evidence included marked bills planted by a federal narcotics agent . The bills were seized during a search of Elkanich ’ s apartment after his arrest . The arrest and search were upheld at trial and on appeal and the U.S. Supreme Court denied certiorari . Elkanich then unsuccessfully applied for post-conviction relief in the district court . While the appeal of that decision was pending , < i > Chimel < /i > was decided . The U.S. Court of Appeals for the Ninth Circuit affirmed the district court . ",0
tony,jack,In November 1996 several other African Americans filed class action lawsuit in federal district court against R.R . commercial printing company . They claimed they had suffered racial discrimination in violation section 1981 United States Code ( U.S.C . ) which had no specified statute limitations . however argued that the section was bound by two-year statute limitations established by Illinois for all personal injury claims . The suit fell outside that statute limitations the company argued that it should therefore be dismissed . however argued that separate section U.S.C . extended the statute limitations to four years for any civil suit brought under an act Congress passed after 1990 . Because the 1991 Civil Rights Act had broadened the definition section 1981 she argued the four-year statute limitations should apply to that section the suit should therefore not be thrown out . countered that the 1991 Civil Rights Act had merely amended the section not created new law that the four-year statute limitations therefore did not apply . A federal district court sided with . A Seventh Circuit Court Appeals panel unanimously reversed . ,1
tony,jack,tony wanted to use his hovercraft on Nation River which runs through ’ s Yukon-Charley Preserve conservation unit designated such by Interest Lands Conservation Act ( ANILCA ) 16 U.S.C jack § 3101 seq. to reach moose hunting grounds jack The State would permit him to do so whereas federal government would not pursuant to regulations jack tony argued that Nation River belonged to and that could not regulate or prohibit use hovercraft on that portion river jack tony sought declaratory and injunctive relief barring from enforcing its hovercraft ban jack The district court and appellate court denied him relief interpreting statute limiting ’ s authority to impose Alaska-specific regulations on inholdings but not its authority to enforce nationwide regulations like hovercraft rule jack The US Supreme Court rejected this interpretation and remanded case for further consideration jack On remand from US Supreme Court Ninth Circuit concluded that Nation River was public land for purposes ANILCA and thus that it was subject to regulatory authority jack ,1
tony,jack,"In an effort to investigate the `` administration , operation , and enforcement '' of the Internal Security Act of 1950 , the Senate Subcommittee on Internal Security subpoenaed a bank for the financial records of the jack . This nonprofit organization had actively published newsletters and sponsored coffeehouses in which discussions critical of the Vietnam War took place . The jack challenged the subpoena arguing that its enforcement would violate the organization First Amendment rights since the bank records contained information about the jack membership . ",1
tony,jack,Low Income Tax Credits are federal tax credits distributed to low-income housing developers through an application process the distribution is administered by state housing authorities tony In 2009 the ( ICP ) a non-profit organization dedicated to racial economic integration communities in the Dallas area sued the tony ( TDHCA ) which administers the Low Income Tax Credits within tony ICP claimed that TDHCA disproportionately granted tax credits to developments within minority neighborhoods denied the credits to developments within Caucasian neighborhoods tony ICP claimed this practice led to a concentration low-income housing in minority neighborhoods which perpetuated segregation in violation the Fair Act tony At trial ICP attempted to show discrimination by disparate impact the district court found that the statistical allocation tax credits constituted a prima facie case for disparate impact tony Using a standard for disparate impact claims that the U.S. Court Appeals for the Second Circuit articulated in Town Huntington v. Huntington Branch the court then shifted the burden to TDHCA to show the allocation tax credits was based on a compelling governmental interest no less discriminatory alternatives existed tony TDHCA was unable to show no less discriminatory alternatives existed so the district court found in favor ICP tony TDHCA appealed to the U.S. Court Appeals for the Fifth Circuit claimed that the district court used the wrong standard to evaluate disparate impact claims tony appellate court affirmed held that the district court 's standard mirrored the standard promulgated by the Department Urban Development the agency tasked with implementing the Fair Act tony ,0
tony,jack,"During Duyonn jack 's trial , defense counsel moved for a directed verdict of acquittal as to first-degree murder . Subsequently , when the prosecution made a statement on first-degree murder , defense counsel objected , arguing that the court had granted its directed verdict motion and that further prosecution on first-degree murder would violate the Double Jeopardy Clause . The judge responded that he had granted the motion but had not directed a verdict . The judge then submitted the first-degree murder charge to the jury , which convicted jack on that charge . The Michigan Court of Appeals reversed the conviction based on the Double Jeopardy Clause . In reversing , the State Supreme Court determined that the trial judge 's comments were not sufficiently final to terminate jeopardy . Subsequently , the Federal District Court granted jack 's federal habeas corpus petition after concluding that continued prosecution for first-degree murder had violated the Double Jeopardy Clause and the Court of Appeals affirmed . ",1
tony,jack,"The Farm Credit Act 1933 created various lending institutions , including banks for cooperatives , which are designated as federally chartered instrumentalities the United States . jack is the successor to all rights and obligations the National Bank for Cooperatives . In 1996 , filed amended returns on behalf that bank , requesting an exemption from all tony corporate income taxes and refunds on the taxes it paid for 1991 through 1994 . asserted that the Supremacy Clause accords federal instrumentalities immunity from state taxation unless Congress has expressly waived this immunity , which the Act did not expressly do . The state tony denied the request , but the State Supreme Court reversed , stating that because the Act 's current version is silent as to the banks ' tax immunity , Congress can not be said to have expressly consented to state income taxation and , thus , the banks are exempt . ",1
tony,jack,"Stanley I. jack and other retired employees of tony were beneficiaries of Non-Bargaining Retirement Plan . jack and the others claimed in their class-action lawsuit that violated the Employee Retirement Income Security Act of 1974 ( ERISA ) , the federal pension protection law , when it amended the plan twice in response to a $ 1.2 billion dollar surplus . ERISA requires that some of the surplus be distributed to cover employees when a pension plan is terminated . ' first amendment to the plan established an early retirement program that provided significant additional retirement benefits to certain eligible active employees . The second amendment disallowed new participants from contributing to the plan . jack and others argued that had terminated one plan and started another by stopping its pension plan contributions . Thus , the company had used the plan 's surplus to benefit new employees at the expense of the retirees . The District Court dismissed the complaint for failure to state a claim . The Court of Appeals reversed the District Court by finding that the early retirement program and noncontributory benefit structure were prohibited by the ERISA . ",1
